조사일,분류,지점명,채수위치,조사일,수온,pH,DO,투명도,탁도,Chl-a ,유해남조류세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR 
2012-01-04,하천,한강,미사대교,2012.01.04,,,,,,,0,0,0,0,0,,,
2012-01-11,하천,한강,미사대교,2012.01.11,,,,,,,0,0,0,0,0,,,
2012-01-18,하천,한강,미사대교,2012.01.18,,,,,,,0,0,0,0,0,,,
2012-01-25,하천,한강,미사대교,2012.01.25,,,,,,,0,0,0,0,0,,,
2012-02-01,하천,한강,미사대교,2012.02.01,,,,,,,0,0,0,0,0,,,
2012-02-08,하천,한강,미사대교,2012.02.08,,,,,,,0,0,0,0,0,,,
2012-02-15,하천,한강,미사대교,2012.02.15,,,,,,,0,0,0,0,0,,,
2012-02-22,하천,한강,미사대교,2012.02.22,,,,,,,0,0,0,0,0,,,
2012-02-29,하천,한강,미사대교,2012.02.29,,,,,,,0,0,0,0,0,,,
2012-03-07,하천,한강,미사대교,2012.03.07,,,,,,,0,0,0,0,0,,,
2012-03-14,하천,한강,미사대교,2012.03.14,,,,,,,0,0,0,0,0,,,
2012-03-21,하천,한강,미사대교,2012.03.21,,,,,,,0,0,0,0,0,,,
2012-03-28,하천,한강,미사대교,2012.03.28,,,,,,,0,0,0,0,0,,,
2012-04-04,하천,한강,미사대교,2012.04.04,,,,,,,0,0,0,0,0,,,
2012-04-10,하천,한강,미사대교,2012.04.10,,,,,,,0,0,0,0,0,,,
2012-04-18,하천,한강,미사대교,2012.04.18,,,,,,,0,0,0,0,0,,,
2012-04-25,하천,한강,미사대교,2012.04.25,,,,,,,0,0,0,0,0,,,
2012-05-02,하천,한강,미사대교,2012.05.02,,,,,,,0,0,0,0,0,,,
2012-05-09,하천,한강,미사대교,2012.05.09,,,,,,,0,0,0,0,0,,,
2012-05-16,하천,한강,미사대교,2012.05.16,,,,,,,0,0,0,0,0,,,
2012-05-23,하천,한강,미사대교,2012.05.23,,,,,,,0,0,0,0,0,,,
2012-05-30,하천,한강,미사대교,2012.05.30,,,,,,,0,0,0,0,0,,,
2012-06-04,하천,한강,미사대교,2012.06.04,,,,,,,0,0,0,0,0,,,
2012-06-13,하천,한강,미사대교,2012.06.13,,,,,,,0,0,0,0,0,,,
2012-06-20,하천,한강,미사대교,2012.06.20,,,,,,,0,0,0,0,0,,,
2012-06-27,하천,한강,미사대교,2012.06.27,,,,,,,0,0,0,0,0,,,
2012-07-04,하천,한강,미사대교,2012.07.04,,,,,,,0,0,0,0,0,,,
2012-07-11,하천,한강,미사대교,2012.07.11,,,,,,,50,,,,,,,
2012-07-18,하천,한강,미사대교,2012.07.18,,,,,,,0,0,0,0,0,,,
2012-07-25,하천,한강,미사대교,2012.07.25,,,,,,,30,,,,,,,
2012-08-01,하천,한강,미사대교,2012.08.01,,,,,,,240,,,,,,,
2012-08-08,하천,한강,미사대교,2012.08.08,,,,,,,1180,,,,,,,
2012-08-15,하천,한강,미사대교,2012.08.15,,,,,,,400,,,,,,,
2012-08-22,하천,한강,미사대교,2012.08.22,,,,,,,50,,,,,,,
2012-08-29,하천,한강,미사대교,2012.08.29,,,,,,,100,,,,,,,
2012-09-05,하천,한강,미사대교,2012.09.05,,,,,,,30,,,,,,,
2012-09-12,하천,한강,미사대교,2012.09.12,,,,,,,90,,,,,,,
2012-09-19,하천,한강,미사대교,2012.09.19,,,,,,,90,,,,,,,
2012-09-26,하천,한강,미사대교,2012.09.26,,,,,,,20,,,,,,,
2012-10-03,하천,한강,미사대교,2012.10.03,,,,,,,60,,,,,,,
2012-10-10,하천,한강,미사대교,2012.10.10,,,,,,,20,,,,,,,
2012-10-17,하천,한강,미사대교,2012.10.17,,,,,,,120,,,,,,,
2012-10-24,하천,한강,미사대교,2012.10.24,,,,,,,6,,,,,,,
2012-10-30,하천,한강,미사대교,2012.10.30,,,,,,,20,,,,,,,
2012-11-07,하천,한강,미사대교,2012.11.07,,,,,,,0,0,0,0,0,,,
2012-11-14,하천,한강,미사대교,2012.11.14,,,,,,,0,0,0,0,0,,,
2012-11-21,하천,한강,미사대교,2012.11.21,,,,,,,0,0,0,0,0,,,
2012-11-28,하천,한강,미사대교,2012.11.28,,,,,,,0,0,0,0,0,,,
2012-12-05,하천,한강,미사대교,2012.12.05,,,,,,,0,0,0,0,0,,,
2012-12-12,하천,한강,미사대교,2012.12.12,,,,,,,0,0,0,0,0,,,
2012-12-18,하천,한강,미사대교,2012.12.18,,,,,,,0,0,0,0,0,,,
2012-12-28,하천,한강,미사대교,2012.12.28,,,,,,,0,0,0,0,0,,,
2013-01-02,하천,한강,미사대교,2013.01.02,,,,,,,0,0,0,0,0,,,
2013-01-09,하천,한강,미사대교,2013.01.09,,,,,,,0,0,0,0,0,,,
2013-01-16,하천,한강,미사대교,2013.01.16,,,,,,,0,0,0,0,0,,,
2013-01-23,하천,한강,미사대교,2013.01.23,,,,,,,0,0,0,0,0,,,
2013-01-30,하천,한강,미사대교,2013.01.30,,,,,,,0,0,0,0,0,,,
2013-02-06,하천,한강,미사대교,2013.02.06,,,,,,,0,0,0,0,0,,,
2013-02-13,하천,한강,미사대교,2013.02.13,,,,,,,0,0,0,0,0,,,
2013-02-20,하천,한강,미사대교,2013.02.20,,,,,,,0,0,0,0,0,,,
2013-02-27,하천,한강,미사대교,2013.02.27,,,,,,,0,0,0,0,0,,,
2013-03-06,하천,한강,미사대교,2013.03.06,,,,,,,0,0,0,0,0,,,
2013-03-13,하천,한강,미사대교,2013.03.13,,,,,,,0,0,0,0,0,,,
2013-03-24,하천,한강,미사대교,2013.03.24,,,,,,,0,0,0,0,0,,,
2013-03-27,하천,한강,미사대교,2013.03.27,,,,,,,0,0,0,0,0,,,
2013-04-03,하천,한강,미사대교,2013.04.03,,,,,,,0,0,0,0,0,,,
2013-04-10,하천,한강,미사대교,2013.04.10,,,,,,,0,0,0,0,0,,,
2013-04-17,하천,한강,미사대교,2013.04.17,,,,,,,0,0,0,0,0,,,
2013-04-24,하천,한강,미사대교,2013.04.24,,,,,,,0,0,0,0,0,,,
2013-05-01,하천,한강,미사대교,2013.05.01,,,,,,,70,,,,,,,
2013-05-08,하천,한강,미사대교,2013.05.08,,,,,,,0,0,0,0,0,,,
2013-05-16,하천,한강,미사대교,2013.05.16,,,,,,,20,,,,,,,
2013-05-22,하천,한강,미사대교,2013.05.22,,,,,,,0,0,0,0,0,,,
2013-05-29,하천,한강,미사대교,2013.05.29,,,,,,,0,0,0,0,0,,,
2013-06-05,하천,한강,미사대교,2013.06.05,,,,,,,0,0,0,0,0,,,
2013-06-12,하천,한강,미사대교,2013.06.12,,,,,,,80,,,,,,,
2013-06-19,하천,한강,미사대교,2013.06.19,,,,,,,0,0,0,0,0,,,
2013-06-26,하천,한강,미사대교,2013.06.26,,,,,,,90,,,,,,,
2013-07-03,하천,한강,미사대교,2013.07.03,,,,,,,40,,,,,,,
2013-07-10,하천,한강,미사대교,2013.07.10,,,,,,,10,,,,,,,
2013-07-17,하천,한강,미사대교,2013.07.17,,,,,,,0,0,0,0,0,,,
2013-07-24,하천,한강,미사대교,2013.07.24,,,,,,,0,0,0,0,0,,,
2013-07-31,하천,한강,미사대교,2013.07.31,,,,,,,0,0,0,0,0,,,
2013-08-07,하천,한강,미사대교,2013.08.07,,,,,,,0,0,0,0,0,,,
2013-08-14,하천,한강,미사대교,2013.08.14,,,,,,,30,,,,,,,
2013-08-21,하천,한강,미사대교,2013.08.21,,,,,,,30,,,,,,,
2013-08-28,하천,한강,미사대교,2013.08.28,,,,,,,420,,,,,,,
2013-09-04,하천,한강,미사대교,2013.09.04,,,,,,,70,,,,,,,
2013-09-11,하천,한강,미사대교,2013.09.11,,,,,,,160,,,,,,,
2013-09-16,하천,한강,미사대교,2013.09.16,,,,,,,0,0,0,0,0,,,
2013-09-25,하천,한강,미사대교,2013.09.25,,,,,,,220,,,,,,,
2013-10-02,하천,한강,미사대교,2013.10.02,,,,,,,50,,,,,,,
2013-10-10,하천,한강,미사대교,2013.10.10,,,,,,,20,,,,,,,
2013-10-16,하천,한강,미사대교,2013.10.16,,,,,,,230,,,,,,,
2013-11-06,하천,한강,미사대교,2013.11.06,,,,,,,10,,,,,,,
2013-11-13,하천,한강,미사대교,2013.11.13,,,,,,,0,0,0,0,0,,,
2013-11-20,하천,한강,미사대교,2013.11.20,,,,,,,0,0,0,0,0,,,
2013-11-27,하천,한강,미사대교,2013.11.27,,,,,,,0,0,0,0,0,,,
2013-12-04,하천,한강,미사대교,2013.12.04,,,,,,,0,0,0,0,0,,,
2013-12-11,하천,한강,미사대교,2013.12.11,,,,,,,0,0,0,0,0,,,
2013-12-18,하천,한강,미사대교,2013.12.18,,,,,,,0,0,0,0,0,,,
2013-12-26,하천,한강,미사대교,2013.12.26,,,,,,,0,0,0,0,0,,,
2014-01-02,하천,한강,미사대교,2014.01.02,,,,,,,0,0,0,0,0,,,
2014-01-08,하천,한강,미사대교,2014.01.08,,,,,,,0,0,0,0,0,,,
2014-01-15,하천,한강,미사대교,2014.01.15,,,,,,,0,0,0,0,0,,,
2014-01-22,하천,한강,미사대교,2014.01.22,,,,,,,0,0,0,0,0,,,
2014-01-28,하천,한강,미사대교,2014.01.28,,,,,,,0,0,0,0,0,,,
2014-02-05,하천,한강,미사대교,2014.02.05,,,,,,,0,0,0,0,0,,,
2014-02-12,하천,한강,미사대교,2014.02.12,,,,,,,0,0,0,0,0,,,
2014-02-19,하천,한강,미사대교,2014.02.19,,,,,,,0,0,0,0,0,,,
2014-02-26,하천,한강,미사대교,2014.02.26,,,,,,,0,0,0,0,0,,,
2014-03-05,하천,한강,미사대교,2014.03.05,,,,,,,0,0,0,0,0,,,
2014-03-12,하천,한강,미사대교,2014.03.12,,,,,,,0,0,0,0,0,,,
2014-03-19,하천,한강,미사대교,2014.03.19,,,,,,,0,0,0,0,0,,,
2014-03-26,하천,한강,미사대교,2014.03.26,,,,,,,0,0,0,0,0,,,
2014-04-02,하천,한강,미사대교,2014.04.02,,,,,,,0,0,0,0,0,,,
2014-04-10,하천,한강,미사대교,2014.04.10,,,,,,,0,0,0,0,0,,,
2014-04-15,하천,한강,미사대교,2014.04.15,,,,,,,0,0,0,0,0,,,
2014-04-22,하천,한강,미사대교,2014.04.22,,,,,,,0,0,0,0,0,,,
2014-04-29,하천,한강,미사대교,2014.04.29,,,,,,,0,0,0,0,0,,,
2014-05-08,하천,한강,미사대교,2014.05.08,,,,,,,0,0,0,0,0,,,
2014-05-13,하천,한강,미사대교,2014.05.13,,,,,,,0,0,0,0,0,,,
2014-05-20,하천,한강,미사대교,2014.05.20,,,,,,,0,0,0,0,0,,,
2014-05-27,하천,한강,미사대교,2014.05.27,,,,,,,0,0,0,0,0,,,
2014-06-02,하천,한강,미사대교,2014.06.02,,,,,,,0,0,0,0,0,,,
2014-06-10,하천,한강,미사대교,2014.06.10,,,,,,,0,0,0,0,0,,,
2014-06-17,하천,한강,미사대교,2014.06.17,,,,,,,0,0,0,0,0,,,
2014-06-24,하천,한강,미사대교,2014.06.24,,,,,,,0,0,0,0,0,,,
2014-07-01,하천,한강,미사대교,2014.07.01,,,,,,,0,0,0,0,0,,,
2014-07-08,하천,한강,미사대교,2014.07.08,,,,,,,170,,,,,,,
2014-07-14,하천,한강,미사대교,2014.07.14,,,,,,,330,,,,,,,
2014-07-21,하천,한강,미사대교,2014.07.21,,,,,,,300,,,,,,,
2014-07-28,하천,한강,미사대교,2014.07.28,,,,,,,210,,,,,,,
2014-08-04,하천,한강,미사대교,2014.08.04,,,,,,,1020,,,,,,,
2014-08-11,하천,한강,미사대교,2014.08.11,,,,,,,1300,,,,,,,
2014-08-18,하천,한강,미사대교,2014.08.18,,,,,,,535,,,,,,,
2014-08-25,하천,한강,미사대교,2014.08.25,,,,,,,0,0,0,0,0,,,
2014-09-02,하천,한강,미사대교,2014.09.02,,,,,,,55,,,,,,,
2014-09-11,하천,한강,미사대교,2014.09.11,,,,,,,25,,,,,,,
2014-09-15,하천,한강,미사대교,2014.09.15,,,,,,,0,0,0,0,0,,,
2014-09-23,하천,한강,미사대교,2014.09.23,,,,,,,260,,,,,,,
2014-09-30,하천,한강,미사대교,2014.09.30,,,,,,,25,,,,,,,
2014-10-06,하천,한강,미사대교,2014.10.06,,,,,,,0,0,0,0,0,,,
2014-10-14,하천,한강,미사대교,2014.10.14,,,,,,,15,,,,,,,
2014-10-21,하천,한강,미사대교,2014.10.21,,,,,,,100,,,,,,,
2014-10-28,하천,한강,미사대교,2014.10.28,,,,,,,0,0,0,0,0,,,
2014-11-05,하천,한강,미사대교,2014.11.05,,,,,,,0,0,0,0,0,,,
2014-11-11,하천,한강,미사대교,2014.11.11,,,,,,,0,0,0,0,0,,,
2014-11-18,하천,한강,미사대교,2014.11.18,,,,,,,0,0,0,0,0,,,
2014-11-25,하천,한강,미사대교,2014.11.25,,,,,,,0,0,0,0,0,,,
2014-12-01,하천,한강,미사대교,2014.12.01,,,,,,,0,0,0,0,0,,,
2014-12-09,하천,한강,미사대교,2014.12.09,,,,,,,0,0,0,0,0,,,
2014-12-16,하천,한강,미사대교,2014.12.16,,,,,,,0,0,0,0,0,,,
2014-12-23,하천,한강,미사대교,2014.12.23,,,,,,,0,0,0,0,0,,,
2014-12-30,하천,한강,미사대교,2014.12.30,,,,,,,0,0,0,0,0,,,
2015-01-06,하천,한강,미사대교,2015.01.06,,,,,,,0,0,0,0,0,,,
2015-01-13,하천,한강,미사대교,2015.01.13,,,,,,,0,0,0,0,0,,,
2015-01-20,하천,한강,미사대교,2015.01.20,,,,,,,0,0,0,0,0,,,
2015-01-27,하천,한강,미사대교,2015.01.27,,,,,,,0,0,0,0,0,,,
2015-02-03,하천,한강,미사대교,2015.02.03,,,,,,,0,0,0,0,0,,,
2015-02-10,하천,한강,미사대교,2015.02.10,,,,,,,0,0,0,0,0,,,
2015-02-16,하천,한강,미사대교,2015.02.16,,,,,,,0,0,0,0,0,,,
2015-02-24,하천,한강,미사대교,2015.02.24,,,,,,,0,0,0,0,0,,,
2015-03-04,하천,한강,미사대교,2015.03.04,,,,,,,0,0,0,0,0,4,4,
2015-03-10,하천,한강,미사대교,2015.03.10,,,,,,,0,0,0,0,0,4,6,
2015-03-16,하천,한강,미사대교,2015.03.16,,,,,,,0,0,0,0,0,3,4,
2015-03-24,하천,한강,미사대교,2015.03.24,,,,,,,0,0,0,0,0,5,8,
2015-03-31,하천,한강,미사대교,2015.03.31,,,,,,,0,0,0,0,0,3,5,
2015-04-07,하천,한강,미사대교,2015.04.07,,,,,,,0,0,0,0,0,5,6,
2015-04-14,하천,한강,미사대교,2015.04.14,,,,,,,0,0,0,0,0,8,8,
2015-04-21,하천,한강,미사대교,2015.04.21,,,,,,,0,0,0,0,0,4,2,
2015-04-28,하천,한강,미사대교,2015.04.28,,,,,,,10,0,0,0,10,4,정량한계미만,
2015-05-04,하천,한강,미사대교,2015.05.04,,,,,,,0,0,0,0,0,5,1,
2015-05-12,하천,한강,미사대교,2015.05.12,,,,,,,0,0,0,0,0,6,5,
2015-05-19,하천,한강,미사대교,2015.05.19,,,,,,,0,0,0,0,0,6,3,
2015-05-26,하천,한강,미사대교,2015.05.26,,,,,,,0,0,0,0,0,5,3,
2015-06-02,하천,한강,미사대교,2015.06.02,,,,,,,0,0,0,0,0,6,3,
2015-06-08,하천,한강,미사대교,2015.06.08,,,,,,,30,0,0,30,0,3,3,
2015-06-15,하천,한강,미사대교,2015.06.15,,,,,,,66,0,66,0,0,3,1,
2015-06-22,하천,한강,미사대교,2015.06.22,,,,,,,0,0,0,0,0,4,정량한계미만,
2015-06-29,하천,한강,미사대교,2015.06.29,,,,,,,60,0,60,0,0,23,8,
2015-07-06,하천,한강,미사대교,2015.07.06,,,,,,,40,0,40,0,0,14,5,정량한계미만
2015-07-09,하천,한강,미사대교,2015.07.09,,,,,,,140,0,140,0,0,17,정량한계미만,
2015-07-13,하천,한강,미사대교,2015.07.13,,,,,,,640,0,180,410,50,25,1,정량한계미만
2015-07-16,하천,한강,미사대교,2015.07.16,,,,,,,120,120,0,0,0,8,12,정량한계미만
2015-07-20,하천,한강,미사대교,2015.07.20,,,,,,,30,10,20,0,0,12,15,정량한계미만
2015-07-23,하천,한강,미사대교,2015.07.23,,,,,,,160,0,160,0,0,9,13,
2015-07-27,하천,한강,미사대교,2015.07.27,,,,,,,140,0,140,0,0,5,7,정량한계미만
2015-07-30,하천,한강,미사대교,2015.07.30,,,,,,,30,0,30,0,0,5,2,
2015-08-03,하천,한강,미사대교,2015.08.03,,,,,,,0,0,0,0,0,3,2,
2015-08-10,하천,한강,미사대교,2015.08.10,,,,,,,0,0,0,0,0,9,9,
2015-08-17,하천,한강,미사대교,2015.08.17,,,,,,,300,230,0,0,70,5,14,
2015-08-20,하천,한강,미사대교,2015.08.20,,,,,,,2470,2000,60,410,0,21,28,
2015-08-24,하천,한강,미사대교,2015.08.24,,,,,,,1870,1600,220,50,0,16,25,
2015-08-27,하천,한강,미사대교,2015.08.27,,,,,,,4880,4400,60,420,0,27,23,
2015-08-31,하천,한강,미사대교,2015.08.31,,,,,,,1020,1000,20,0,0,6,27,정량한계미만
2015-09-03,하천,한강,미사대교,2015.09.03,,,,,,,1260,940,320,0,0,15,25,
2015-09-07,하천,한강,미사대교,2015.09.07,,,,,,,740,450,230,0,60,15,27,정량한계미만
2015-09-10,하천,한강,미사대교,2015.09.10,,,,,,,3710,3600,110,0,0,13,25,
2015-09-14,하천,한강,미사대교,2015.09.14,,,,,,,400,30,20,150,200,19,24,정량한계미만
2015-09-17,하천,한강,미사대교,2015.09.17,,,,,,,530,150,30,120,230,21,33,
2015-09-21,하천,한강,미사대교,2015.09.21,,,,,,,2820,1900,380,390,150,16,33,0
2015-09-24,하천,한강,미사대교,2015.09.24,,,,,,,380,120,30,0,230,9,55,
2015-10-01,하천,한강,미사대교,2015.10.01,,,,,,,560,350,10,120,80,10,36,
2015-10-05,하천,한강,미사대교,2015.10.05,,,,,,,3950,0,150,100,3700,12,35,
2015-10-08,하천,한강,미사대교,2015.10.08,,,,,,,195,100,40,0,55,14,45,
2015-10-12,하천,한강,미사대교,2015.10.12,,,,,,,280,190,90,0,0,7,37,
2015-10-15,하천,한강,미사대교,2015.10.15,,,,,,,30,30,0,0,0,10,29,
2015-10-19,하천,한강,미사대교,2015.10.19,,,,,,,90,70,0,20,0,7,18,
2015-10-26,하천,한강,미사대교,2015.10.26,,,,,,,0,0,0,0,0,4,9,
2015-11-02,하천,한강,미사대교,2015.11.02,,,,,,,0,0,0,0,0,2,9,
2015-11-09,하천,한강,미사대교,2015.11.09,,,,,,,170,0,0,70,100,5,15,
2015-11-16,하천,한강,미사대교,2015.11.16,,,,,,,0,0,0,0,0,4,5,
2015-11-23,하천,한강,미사대교,2015.11.23,,,,,,,0,0,0,0,0,3,9,
2015-11-30,하천,한강,미사대교,2015.11.30,,,,,,,0,0,0,0,0,2,10,
2015-12-07,하천,한강,미사대교,2015.12.07,,,,,,,0,0,0,0,0,3,8,
2015-12-14,하천,한강,미사대교,2015.12.14,,,,,,,0,0,0,0,0,2,4,
2015-12-21,하천,한강,미사대교,2015.12.21,,,,,,,0,0,0,0,0,5,6,
2015-12-28,하천,한강,미사대교,2015.12.28,,,,,,,0,0,0,0,0,4,5,
2016-01-04,하천,한강,미사대교,2016.01.04,,,,,,,0,0,0,0,0,4,3,
2016-01-11,하천,한강,미사대교,2016.01.11,,,,,,,0,0,0,0,0,2,3,
2016-01-18,하천,한강,미사대교,2016.01.18,,,,,,,0,0,0,0,0,3,4,
2016-01-25,하천,한강,미사대교,2016.01.25,,,,,,,0,0,0,0,0,4,4,
2016-02-01,하천,한강,미사대교,2016.02.01,,,,,,,0,0,0,0,0,2,6,
2016-02-08,하천,한강,미사대교,2016.02.08,,,,,,,,,,,,,,
2016-02-15,하천,한강,미사대교,2016.02.15,,,,,,,0,0,0,0,0,3,4,
2016-02-22,하천,한강,미사대교,2016.02.22,,,,,,,0,0,0,0,0,2,4,
2016-02-29,하천,한강,미사대교,2016.02.29,,,,,,,0,0,0,0,0,3,5,
2016-03-07,하천,한강,미사대교,2016.03.07,,,,,,,0,0,0,0,0,5,4,
2016-03-14,하천,한강,미사대교,2016.03.14,,,,,,,0,0,0,0,0,5,1,
2016-03-21,하천,한강,미사대교,2016.03.21,,,,,,,0,0,0,0,0,4,정량한계미만,
2016-03-28,하천,한강,미사대교,2016.03.28,,,,,,,0,0,0,0,0,5,2,
2016-04-04,하천,한강,미사대교,2016.04.04,11.6,7.8,11,,,13.8,0,0,0,0,0,8,정량한계미만,
2016-04-11,하천,한강,미사대교,2016.04.11,12.7,8.1,10.6,,,14.3,0,0,0,0,0,11,2,
2016-04-18,하천,한강,미사대교,2016.04.18,,,,,,,,,,,,,,
2016-04-25,하천,한강,미사대교,2016.04.25,,,,,,,,,,,,,,
2016-05-02,하천,한강,미사대교,2016.05.02,,,,,,,,,,,,,,
2016-05-09,하천,한강,미사대교,2016.05.09,,,,,,,,,,,,,,
